bhk,type,locality,area,region,status,age,price_numeric
3,Apartment,Lak And Hanware The Residency Tower,685,Andheri West,Ready to move,New,25000000.0
2,Apartment,Radheya Sai Enclave Building No 2,640,Naigaon East,Under Construction,New,5251000.0
2,Apartment,Romell Serene,610,Borivali West,Under Construction,New,17300000.0
2,Apartment,Soundlines Codename Urban Rainforest,876,Panvel,Under Construction,New,5998000.0
3,Apartment,Konark Alpha Residency,1525,Borivali West,Ready to move,Resale,32500000.0
